"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2024-09-07T16:04:56.813Z,N/A,N/A,"ASTRO - MY ZONE",false,France,N/A,1578841985,"library / songs",2024-09-07T16:04:56.813Z,NATURAL_END_OF_TRACK,2024-09-07T16:08:06.119Z,2024-09-07T16:08:06.222Z,2024-09-07T16:04:56.813Z,189306,189306,189306,AUDIO,0,1,0,189306
2024-09-07T16:02:09.224Z,N/A,N/A,"Jung Kook - Shot Glass of Tears",false,France,N/A,1709555097,"library / songs",2024-09-07T16:02:09.224Z,NATURAL_END_OF_TRACK,2024-09-07T16:04:56.518Z,2024-09-07T16:04:56.611Z,2024-09-07T16:02:09.224Z,167294,167294,167294,AUDIO,0,1,0,167294
2024-09-07T15:57:56.947Z,N/A,N/A,"Kirk Franklin - Love Theory",false,France,N/A,1447412295,"library / songs",2024-09-07T15:57:56.947Z,NATURAL_END_OF_TRACK,2024-09-07T16:02:08.205Z,2024-09-07T16:02:08.382Z,2024-09-07T15:57:56.947Z,251258,251258,251258,AUDIO,0,1,0,251258
2024-09-07T15:55:09.505Z,N/A,N/A,"OH MY GIRL - Celebrate",false,France,N/A,1697800361,"library / songs",2024-09-07T15:55:09.505Z,NATURAL_END_OF_TRACK,2024-09-07T15:57:56.305Z,2024-09-07T15:57:56.373Z,2024-09-07T15:55:09.505Z,166800,166800,166800,AUDIO,0,1,0,166800
2024-09-07T15:52:02.528Z,N/A,N/A,"SEVENTEEN - Ready to love",false,France,N/A,1571363622,"library / songs",2024-09-07T15:52:02.528Z,NATURAL_END_OF_TRACK,2024-09-07T15:55:09.288Z,2024-09-07T15:55:09.376Z,2024-09-07T15:52:02.528Z,186760,186760,186760,AUDIO,0,1,0,186760
2024-09-07T15:48:15.639Z,N/A,N/A,"KEY - Eighteen (End Of My World)",false,France,N/A,1586598007,"library / songs",2024-09-07T15:48:15.639Z,NATURAL_END_OF_TRACK,2024-09-07T15:52:02.585Z,2024-09-07T15:52:02.645Z,2024-09-07T15:48:15.639Z,226946,226946,226946,AUDIO,0,1,0,226946
2024-09-07T15:45:37.743Z,N/A,N/A,"TAEYEON - Set Myself On Fire",false,France,N/A,1609050009,"library / songs",2024-09-07T15:45:37.743Z,NATURAL_END_OF_TRACK,2024-09-07T15:48:15.729Z,2024-09-07T15:48:15.792Z,2024-09-07T15:45:37.743Z,157986,157986,157986,AUDIO,0,1,0,157986
2024-09-07T15:42:12.534Z,N/A,N/A,"BTS - Run BTS",false,France,N/A,1627575780,"library / songs",2024-09-07T15:42:12.534Z,NATURAL_END_OF_TRACK,2024-09-07T15:45:37.550Z,2024-09-07T15:45:37.645Z,2024-09-07T15:42:12.534Z,205016,205016,205016,AUDIO,0,1,0,205016
2024-09-07T15:39:18.043Z,N/A,N/A,"CRAVITY - Cherry Blossom",false,France,N/A,1730850401,"library / songs",2024-09-07T15:39:18.043Z,NATURAL_END_OF_TRACK,2024-09-07T15:42:12.610Z,2024-09-07T15:42:12.668Z,2024-09-07T15:39:18.043Z,174567,174567,174567,AUDIO,0,1,0,174567
2024-09-07T15:36:28.370Z,N/A,N/A,"ASTRO - Candy Sugar Pop",false,France,N/A,1623303127,"library / songs",2024-09-07T15:36:28.370Z,NATURAL_END_OF_TRACK,2024-09-07T15:39:17.623Z,2024-09-07T15:39:17.747Z,2024-09-07T15:36:28.370Z,169253,169253,169253,AUDIO,0,1,0,169253
2024-09-07T15:33:42.057Z,N/A,N/A,"iKON - GOLD",false,France,N/A,1621034213,"library / songs",2024-09-07T15:33:42.057Z,NATURAL_END_OF_TRACK,2024-09-07T15:36:28.173Z,2024-09-07T15:36:28.267Z,2024-09-07T15:33:42.057Z,166116,166116,166116,AUDIO,0,1,0,166116
2024-09-07T15:30:15.292Z,N/A,N/A,"SUPER JUNIOR-D&E - ZERO",false,France,N/A,1592218512,"library / songs",2024-09-07T15:30:15.292Z,NATURAL_END_OF_TRACK,2024-09-07T15:33:42.212Z,2024-09-07T15:33:42.368Z,2024-09-07T15:30:15.292Z,206920,206920,206920,AUDIO,0,1,0,206920
2024-09-07T15:25:09.170Z,N/A,N/A,"iKON - Like a Movie",false,France,N/A,1685831107,"library / songs",2024-09-07T15:25:09.170Z,NATURAL_END_OF_TRACK,2024-09-07T15:28:35.410Z,2024-09-07T15:28:35.486Z,2024-09-07T15:25:09.170Z,206240,206240,206240,AUDIO,0,1,0,206240
2024-09-07T15:21:48.502Z,N/A,N/A,"SUPER JUNIOR-D&E - B.A.D",false,France,N/A,1529573308,"library / songs",2024-09-07T15:21:48.502Z,NATURAL_END_OF_TRACK,2024-09-07T15:25:09.288Z,2024-09-07T15:25:09.340Z,2024-09-07T15:21:48.502Z,200786,200786,200786,AUDIO,0,1,0,200786
2024-09-06T16:39:53.656Z,N/A,N/A,"THE BOYZ - Fairy Tale",false,France,N/A,1700632632,"library / songs",2024-09-06T16:39:53.656Z,NATURAL_END_OF_TRACK,2024-09-07T15:21:48.444Z,2024-09-07T15:21:48.522Z,2024-09-07T15:19:13.422Z,210533,155022,210533,AUDIO,0,1,0,210533
2024-09-06T16:37:28.733Z,N/A,N/A,"Jimin - Rebirth (Intro)",false,France,N/A,1751773079,"library / songs",2024-09-06T16:37:28.733Z,NATURAL_END_OF_TRACK,2024-09-06T16:39:53.421Z,2024-09-06T16:39:53.538Z,2024-09-06T16:37:28.733Z,144688,144688,144688,AUDIO,0,1,0,144688
2024-09-06T16:34:56.416Z,N/A,N/A,"TWS - plot twist",false,France,N/A,1723932648,"library / songs",2024-09-06T16:34:56.416Z,NATURAL_END_OF_TRACK,2024-09-06T16:37:28.930Z,2024-09-06T16:37:28.985Z,2024-09-06T16:34:56.416Z,152514,152514,152514,AUDIO,0,1,0,152514
